From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q9JKF1	Q9JKF1	reviewed	IQGA1_MOUSE	Ras GTPase-activating-like protein IQGAP1	Iqgap1	Mus musculus (Mouse)	1657
O76094	O76094	reviewed	SRP72_HUMAN	Signal recognition particle subunit SRP72 (SRP72) (Signal recognition particle 72 kDa protein)	SRP72	Homo sapiens (Human)	671
Q9VSS2	Q9VSS2	reviewed	SRP68_DROME	Signal recognition particle subunit SRP68 (SRP68) (Signal recognition particle 68 kDa protein)	Srp68 CG5064	Drosophila melanogaster (Fruit fly)	604
Q8T3P8	Q8T3P8	unreviewed	Q8T3P8_DROME	Signal recognition particle 54 kDa protein	Srp54k CG4659	Drosophila melanogaster (Fruit fly)	569
P05084	P05084	reviewed	HUNB_DROME	Protein hunchback	hb CG9786	Drosophila melanogaster (Fruit fly)	758
P26017	P26017	reviewed	PC_DROME	Polycomb group protein Pc (Protein polycomb)	Pc CG7618	Drosophila melanogaster (Fruit fly)	390
Q9V429	Q9V429	reviewed	THIO2_DROME	Thioredoxin-2 (DmTrx-2)	Trx-2 CG31884	Drosophila melanogaster (Fruit fly)	106
B1IVL4	B1IVL4	reviewed	SSRP_ECOLC	SsrA-binding protein (Small protein B)	smpB EcolC_1064	Escherichia coli (strain ATCC 8739 / DSM 1576 / NBRC 3972 / NCIMB 8545 / WDCM 00012 / Crooks)	160
P42184	P42184	reviewed	PRSA_ECOLX	PRS fimbrial major pilin protein (PRS pili)	prsA	Escherichia coli	161
P25555	P25555	reviewed	GBP2_YEAST	Serine/arginine (SR)-type shuttling mRNA binding protein GBP2 (Polyadenylate-binding protein GBP2) (RAP1 localization factor 6) (Single-strand telomeric DNA-binding protein GBP2) (G-strand-binding protein 2)	GBP2 RLF6 YCL011C YCL11C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	427
P38199	P38199	reviewed	HEK2_YEAST	Heterogeneous nuclear rnp K-like protein 2 (KH domain-containing protein 1)	HEK2 KHD1 YBL032W YBL0418	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	381
Q99383	Q99383	reviewed	HRP1_YEAST	Nuclear polyadenylated RNA-binding protein 4 (Cleavage factor IB) (CFIB) (Heterogeneous nuclear ribonucleoprotein 1)	HRP1 NAB4 NAB5 YOL123W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	534
Q99257	Q99257	reviewed	MEX67_YEAST	mRNA export factor MEX67	MEX67 YPL169C P2520	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	599
P47047	P47047	reviewed	MTR4_YEAST	ATP-dependent RNA helicase DOB1 (EC 3.6.4.13) (mRNA transport regulator MTR4)	MTR4 DOB1 YJL050W J1158	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1073
Q15742	Q15742	reviewed	NAB2_HUMAN	NGFI-A-binding protein 2 (EGR-1-binding protein 2) (Melanoma-associated delayed early response protein) (Protein MADER)	NAB2 MADER	Homo sapiens (Human)	525
P04147	P04147	reviewed	PABP_YEAST	Polyadenylate-binding protein, cytoplasmic and nuclear (PABP) (Poly(A)-binding protein) (ARS consensus-binding protein ACBP-67) (Polyadenylate tail-binding protein)	PAB1 YER165W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	577
P53632	P53632	reviewed	PAP2_YEAST	Poly(A) RNA polymerase protein 2 (EC 2.7.7.19) (DNA polymerase kappa) (DNA polymerase sigma) (Topoisomerase 1-related protein TRF4)	PAP2 TRF4 YOL115W HRC584 O0716	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	584
P35207	P35207	reviewed	SKI2_YEAST	Antiviral helicase SKI2 (EC 3.6.4.13) (Superkiller protein 2)	SKI2 YLR398C L8084.17	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1287
P34160	P34160	reviewed	NCBP1_YEAST	Nuclear cap-binding protein complex subunit 1 (80 kDa nuclear cap-binding protein) (CBP80) (NCBP 80 kDa subunit) (Glycolysis regulation protein 3) (Protein SUT1) (Suppressor of TOP1 protein)	STO1 CBC1 CBP80 GCR3 SUT1 YMR125W YM8564.07 YM9553.01	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	861
P53552	P53552	reviewed	THO2_YEAST	THO complex subunit 2 (Low dye-binding protein 5) (THO complex subunit RLR1) (Zinc-regulated gene 13 protein)	THO2 LDB5 RLR1 ZRG13 YNL139C N1209 N1835	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1597
Q8IZH2	Q8IZH2	reviewed	XRN1_HUMAN	5'-3' exoribonuclease 1 (EC 3.1.13.-) (Strand-exchange protein 1 homolog)	XRN1 SEP1	Homo sapiens (Human)	1706
P10081	P10081	reviewed	IF4A_YEAST	ATP-dependent RNA helicase eIF4A (EC 3.6.4.13) (Eukaryotic initiation factor 4A) (eIF-4A) (Stimulator factor I 37 kDa component) (Translation initiation factor 1/2) (p37)	TIF1 TIF41A YKR059W; TIF2 TIF41B YJL138C J0660	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	395
J9PH39	J9PH39	unreviewed	J9PH39_HUMAN	Tumor necrosis factor receptor superfamily member 1A (Tumor necrosis factor receptor 1) (Tumor necrosis factor receptor type I) (p55) (p60)	TNFRSF1A	Homo sapiens (Human)	347
A8MZG1	A8MZG1	unreviewed	A8MZG1_HUMAN	Thrombospondin 1	THBS1	Homo sapiens (Human)	94
P05121	P05121	reviewed	PAI1_HUMAN	Plasminogen activator inhibitor 1 (PAI) (PAI-1) (Endothelial plasminogen activator inhibitor) (Serpin E1)	SERPINE1 PAI1 PLANH1	Homo sapiens (Human)	402
Q4TT34	Q4TT34	unreviewed	Q4TT34_HUMAN	Nucleoside diphosphate kinase (EC 2.7.4.6)	NME4	Homo sapiens (Human)	195
G3V286	G3V286	unreviewed	G3V286_HUMAN	NFKB inhibitor alpha	NFKBIA	Homo sapiens (Human)	227
P19838	P19838	reviewed	NFKB1_HUMAN	Nuclear factor NF-kappa-B p105 subunit (DNA-binding factor KBF1) (EBP-1) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1) [Cleaved into: Nuclear factor NF-kappa-B p50 subunit]	NFKB1	Homo sapiens (Human)	968
Q13330	Q13330	reviewed	MTA1_HUMAN	Metastasis-associated protein MTA1	MTA1	Homo sapiens (Human)	715
Q9NQ41	Q9NQ41	unreviewed	Q9NQ41_HUMAN	Melanoma adhesion molecule	MCAM	Homo sapiens (Human)	46
P05412	P05412	reviewed	JUN_HUMAN	Transcription factor Jun (Activator protein 1) (AP1) (Proto-oncogene c-Jun) (Transcription factor AP-1 subunit Jun) (V-jun avian sarcoma virus 17 oncogene homolog) (p39)	JUN	Homo sapiens (Human)	331
Q9UM22	Q9UM22	reviewed	EPDR1_HUMAN	Mammalian ependymin-related protein 1 (MERP-1) (Upregulated in colorectal cancer gene 1 protein)	EPDR1 MERP1 UCC1	Homo sapiens (Human)	224
Q01094	Q01094	reviewed	E2F1_HUMAN	Transcription factor E2F1 (E2F-1) (PBR3) (Retinoblastoma-associated protein 1) (RBAP-1) (Retinoblastoma-binding protein 3) (RBBP-3) (pRB-binding protein E2F-1)	E2F1 RBBP3	Homo sapiens (Human)	437
A0A024R2Q3	A0A024R2Q3	unreviewed	A0A024R2Q3_HUMAN	Catenin (Cadherin-associated protein), beta 1, 88kDa, isoform CRA_a	CTNNB1 hCG_27815	Homo sapiens (Human)	781
P16070	P16070	reviewed	CD44_HUMAN	CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44)	CD44 LHR MDU2 MDU3 MIC4	Homo sapiens (Human)	742
O15392	O15392	reviewed	BIRC5_HUMAN	Baculoviral IAP repeat-containing protein 5 (Apoptosis inhibitor 4) (Apoptosis inhibitor survivin)	BIRC5 API4 IAP4	Homo sapiens (Human)	142
Q92900	Q92900	reviewed	RENT1_HUMAN	Regulator of nonsense transcripts 1 (EC 3.6.4.12) (EC 3.6.4.13) (ATP-dependent helicase RENT1) (Nonsense mRNA reducing factor 1) (NORF1) (Up-frameshift suppressor 1 homolog) (hUpf1)	UPF1 KIAA0221 RENT1	Homo sapiens (Human)	1129
Q8BIF2	Q8BIF2	reviewed	RFOX3_MOUSE	RNA binding protein fox-1 homolog 3 (Fox-1 homolog C) (Hexaribonucleotide-binding protein 3) (Fox-3) (Neuronal nuclei antigen) (NeuN antigen)	Rbfox3 D11Bwg0517e Hrnbp3	Mus musculus (Mouse)	374
Q8R003	Q8R003	reviewed	MBNL3_MOUSE	Muscleblind-like protein 3 (Cys3His CCG1-required protein) (Muscleblind-like X-linked protein) (Protein MCHCR)	Mbnl3 Chcr Mbxl	Mus musculus (Mouse)	342
Q92833	Q92833	reviewed	JARD2_HUMAN	Protein Jumonji (Jumonji/ARID domain-containing protein 2)	JARID2 JMJ	Homo sapiens (Human)	1246
P69566	P69566	reviewed	RANB9_MOUSE	Ran-binding protein 9 (RanBP9) (B-cell antigen receptor Ig beta-associated protein 1) (IBAP-1) (Ran-binding protein M) (RanBPM)	Ranbp9 Ranbpm	Mus musculus (Mouse)	653
Q5VZF2	Q5VZF2	reviewed	MBNL2_HUMAN	Muscleblind-like protein 2 (Muscleblind-like protein 1) (Muscleblind-like protein-like) (Muscleblind-like protein-like 39)	MBNL2 MBLL MBLL39 MLP1	Homo sapiens (Human)	373
Q5T481	Q5T481	reviewed	RBM20_HUMAN	RNA-binding protein 20 (RNA-binding motif protein 20)	RBM20	Homo sapiens (Human)	1227
P38432	P38432	reviewed	COIL_HUMAN	Coilin (p80-coilin)	COIL CLN80	Homo sapiens (Human)	576
Q93062	Q93062	reviewed	RBPMS_HUMAN	RNA-binding protein with multiple splicing (RBP-MS) (Heart and RRM expressed sequence) (Hermes)	RBPMS HERMES	Homo sapiens (Human)	196
Q6ZN17	Q6ZN17	reviewed	LN28B_HUMAN	Protein lin-28 homolog B (Lin-28B)	LIN28B CSDD2	Homo sapiens (Human)	250
Q8TB72	Q8TB72	reviewed	PUM2_HUMAN	Pumilio homolog 2 (Pumilio-2)	PUM2 KIAA0235 PUMH2	Homo sapiens (Human)	1066
O75821	O75821	reviewed	EIF3G_HUMAN	Eukaryotic translation initiation factor 3 subunit G (eIF3g) (Eukaryotic translation initiation factor 3 RNA-binding subunit) (eIF-3 RNA-binding subunit) (Eukaryotic translation initiation factor 3 subunit 4) (eIF-3-delta) (eIF3 p42) (eIF3 p44)	EIF3G EIF3S4	Homo sapiens (Human)	320
K7EKN9	K7EKN9	unreviewed	K7EKN9_HUMAN	Trinucleotide repeat containing adaptor 6C	TNRC6C	Homo sapiens (Human)	95
H3BRT3	H3BRT3	unreviewed	H3BRT3_HUMAN	Trinucleotide repeat containing adaptor 6A	TNRC6A	Homo sapiens (Human)	160
A0A024R1T4	A0A024R1T4	unreviewed	A0A024R1T4_HUMAN	Trinucleotide repeat containing 6B, isoform CRA_b	TNRC6B hCG_41115	Homo sapiens (Human)	1527
Q86V81	Q86V81	reviewed	THOC4_HUMAN	THO complex subunit 4 (Tho4) (Ally of AML-1 and LEF-1) (Aly/REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing factor BEF)	ALYREF ALY BEF THOC4	Homo sapiens (Human)	257
Q07807	Q07807	reviewed	PUF3_YEAST	mRNA-binding protein PUF3 (Pumilio homology domain family member 3)	PUF3 YLL013C L1325	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	879
A0AV96	A0AV96	reviewed	RBM47_HUMAN	RNA-binding protein 47 (RNA-binding motif protein 47)	RBM47	Homo sapiens (Human)	593
Q8TEK3	Q8TEK3	reviewed	DOT1L_HUMAN	Histone-lysine N-methyltransferase, H3 lysine-79 specific (EC 2.1.1.360) (DOT1-like protein) (Histone H3-K79 methyltransferase) (H3-K79-HMTase) (Lysine N-methyltransferase 4)	DOT1L KIAA1814 KMT4	Homo sapiens (Human)	1537
B0QYK0	B0QYK0	unreviewed	B0QYK0_HUMAN	EWS RNA binding protein 1	EWSR1	Homo sapiens (Human)	618
P31483	P31483	reviewed	TIA1_HUMAN	Cytotoxic granule associated RNA binding protein TIA1 (Nucleolysin TIA-1 isoform p40) (RNA-binding protein TIA-1) (T-cell-restricted intracellular antigen-1) (TIA-1) (p40-TIA-1)	TIA1	Homo sapiens (Human)	386
E7ETC0	E7ETC0	unreviewed	E7ETC0_HUMAN	TIA1 cytotoxic granule associated RNA binding protein like 1	TIAL1	Homo sapiens (Human)	135
A0A075B7F4	A0A075B7E4	unreviewed	A0A075B7E4_HUMAN	TATA-box binding protein associated factor 15	TAF15	Homo sapiens (Human)	212
Q9UL18	Q9UL18	reviewed	AGO1_HUMAN	Protein argonaute-1 (Argonaute1) (hAgo1) (Argonaute RISC catalytic component 1) (Eukaryotic translation initiation factor 2C 1) (eIF-2C 1) (eIF2C 1) (Putative RNA-binding protein Q99)	AGO1 EIF2C1	Homo sapiens (Human)	857
Q8NDV7	Q8NDV7	reviewed	TNR6A_HUMAN	Trinucleotide repeat-containing gene 6A protein (CAG repeat protein 26) (EMSY interactor protein) (GW182 autoantigen) (Protein GW1) (Glycine-tryptophan protein of 182 kDa)	TNRC6A CAGH26 KIAA1460 TNRC6	Homo sapiens (Human)	1962
G5EGR6	G5EGR6	unreviewed	G5EGR6_CAEEL	Protein argonaute	alg-1 CELE_F48F7.1 F48F7.1	Caenorhabditis elegans	1002
Q17339	Q17339	reviewed	GLD1_CAEEL	Female germline-specific tumor suppressor gld-1 (Defective in germ line development protein 1)	gld-1 T23G11.3	Caenorhabditis elegans	463
Q9JKN6	Q9JKN6	reviewed	NOVA1_MOUSE	RNA-binding protein Nova-1 (Neuro-oncological ventral antigen 1) (Ventral neuron-specific protein 1)	Nova1	Mus musculus (Mouse)	507
P39517	P39517	reviewed	DHH1_YEAST	ATP-dependent RNA helicase DHH1 (EC 3.6.4.13) (DExD/H-box helicase 1)	DHH1 YDL160C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	506
P25644	P25644	reviewed	PAT1_YEAST	DNA topoisomerase 2-associated protein PAT1 (Decapping activator and translational repressor PAT1) (Topoisomerase II-associated protein PAT1) (mRNA turnover protein 1)	PAT1 MRT1 YCR077C YCR77C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	796
P10080	P10080	reviewed	SSBP1_YEAST	Single-stranded nucleic acid-binding protein	SBP1 SSB1 SSBR1 YHL034C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	294
O95639	O95639	reviewed	CPSF4_HUMAN	Cleavage and polyadenylation specificity factor subunit 4 (Cleavage and polyadenylation specificity factor 30 kDa subunit) (CPSF 30 kDa subunit) (NS1 effector domain-binding protein 1) (Neb-1) (No arches homolog)	CPSF4 CPSF30 NAR NEB1	Homo sapiens (Human)	269
Q9UKF6	Q9UKF6	reviewed	CPSF3_HUMAN	Cleavage and polyadenylation specificity factor subunit 3 (EC 3.1.27.-) (Cleavage and polyadenylation specificity factor 73 kDa subunit) (CPSF 73 kDa subunit) (mRNA 3'-end-processing endonuclease CPSF-73)	CPSF3 CPSF73	Homo sapiens (Human)	684
Q9P2I0	Q9P2I0	reviewed	CPSF2_HUMAN	Cleavage and polyadenylation specificity factor subunit 2 (Cleavage and polyadenylation specificity factor 100 kDa subunit) (CPSF 100 kDa subunit)	CPSF2 CPSF100 KIAA1367	Homo sapiens (Human)	782
Q9H0L4	Q9H0L4	reviewed	CSTFT_HUMAN	Cleavage stimulation factor subunit 2 tau variant (CF-1 64 kDa subunit tau variant) (Cleavage stimulation factor 64 kDa subunit tau variant) (CSTF 64 kDa subunit tau variant) (TauCstF-64)	CSTF2T KIAA0689	Homo sapiens (Human)	616
Q53F19	Q53F19	reviewed	NCBP3_HUMAN	Nuclear cap-binding protein subunit 3 (Protein ELG)	NCBP3 C17orf85	Homo sapiens (Human)	620
K7ER58	K7ER58	unreviewed	K7ER58_HUMAN	AlkB homolog 5, RNA demethylase	ALKBH5	Homo sapiens (Human)	53
Q9UGR2	Q9UGR2	reviewed	Z3H7B_HUMAN	Zinc finger CCCH domain-containing protein 7B (Rotavirus 'X'-associated non-structural protein) (RoXaN)	ZC3H7B KIAA1031	Homo sapiens (Human)	977
Q8WYQ5	Q8WYQ5	reviewed	DGCR8_HUMAN	Microprocessor complex subunit DGCR8 (DiGeorge syndrome critical region 8)	DGCR8 C22orf12 DGCRK6 LP4941	Homo sapiens (Human)	773
P51116	P51116	reviewed	FXR2_HUMAN	RNA-binding protein FXR2 (FXR2P) (FMR1 autosomal homolog 2)	FXR2 FMR1L2	Homo sapiens (Human)	673
P51114	P51114	reviewed	FXR1_HUMAN	RNA-binding protein FXR1 (FMR1 autosomal homolog 1) (hFXR1p)	FXR1	Homo sapiens (Human)	621
Q9Y5A9	Q9Y5A9	reviewed	YTHD2_HUMAN	YTH domain-containing family protein 2 (DF2) (CLL-associated antigen KW-14) (High-glucose-regulated protein 8) (Renal carcinoma antigen NY-REN-2)	YTHDF2 HGRG8	Homo sapiens (Human)	579
Q99700	Q99700	reviewed	ATX2_HUMAN	Ataxin-2 (Spinocerebellar ataxia type 2 protein) (Trinucleotide repeat-containing gene 13 protein)	ATXN2 ATX2 SCA2 TNRC13	Homo sapiens (Human)	1313
Q15633	Q15633	reviewed	TRBP2_HUMAN	RISC-loading complex subunit TARBP2 (TAR RNA-binding protein 2) (Trans-activation-responsive RNA-binding protein)	TARBP2 TRBP	Homo sapiens (Human)	366
P52756	P52756	reviewed	RBM5_HUMAN	RNA-binding protein 5 (Protein G15) (Putative tumor suppressor LUCA15) (RNA-binding motif protein 5) (Renal carcinoma antigen NY-REN-9)	RBM5 H37 LUCA15	Homo sapiens (Human)	815
P98175	P98175	reviewed	RBM10_HUMAN	RNA-binding protein 10 (G patch domain-containing protein 9) (RNA-binding motif protein 10) (RNA-binding protein S1-1) (S1-1)	RBM10 DXS8237E GPATC9 GPATCH9 KIAA0122	Homo sapiens (Human)	930
M0QY76	M0QY76	unreviewed	M0QY76_HUMAN	mRNA decay activator protein ZFP36 (Zinc finger protein 36)	ZFP36 hCG_43352	Homo sapiens (Human)	332
Q86U44	Q86U44	reviewed	MTA70_HUMAN	N6-adenosine-methyltransferase catalytic subunit (EC 2.1.1.348) (Methyltransferase-like protein 3) (hMETTL3) (N6-adenosine-methyltransferase 70 kDa subunit) (MT-A70)	METTL3 MTA70	Homo sapiens (Human)	580
Q921F2	Q921F2	reviewed	TADBP_MOUSE	TAR DNA-binding protein 43 (TDP-43)	Tardbp Tdp43	Mus musculus (Mouse)	414
P24309	P24309	reviewed	DBR1_YEAST	Lariat debranching enzyme (EC 3.1.4.-)	DBR1 PRP26 YKL149C YKL604	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	405
P53255	P53255	reviewed	DRN1_YEAST	CWF19-like protein DRN1 (Debranching enzyme-associated ribonuclease 1)	DRN1 YGR093W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	507
Q9BRD0	Q9BRD0	reviewed	BUD13_HUMAN	BUD13 homolog	BUD13	Homo sapiens (Human)	619
O00571	O00571	reviewed	DDX3X_HUMAN	ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (CAP-Rf) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (DBX) (Helicase-like protein 2) (HLP2)	DDX3X DBX DDX3	Homo sapiens (Human)	662
Q8NHQ9	Q8NHQ9	reviewed	DDX55_HUMAN	ATP-dependent RNA helicase DDX55 (EC 3.6.4.13) (DEAD box protein 55)	DDX55 KIAA1595	Homo sapiens (Human)	600
Q5T1V6	Q5T1V6	reviewed	DDX59_HUMAN	Probable ATP-dependent RNA helicase DDX59 (EC 3.6.4.13) (DEAD box protein 59) (Zinc finger HIT domain-containing protein 5)	DDX59 ZNHIT5	Homo sapiens (Human)	619
P26196	P26196	reviewed	DDX6_HUMAN	Probable ATP-dependent RNA helicase DDX6 (EC 3.6.4.13) (ATP-dependent RNA helicase p54) (DEAD box protein 6) (Oncogene RCK)	DDX6 HLR2 RCK	Homo sapiens (Human)	483
Q7L2E3	Q7L2E3	reviewed	DHX30_HUMAN	ATP-dependent RNA helicase DHX30 (EC 3.6.4.13) (DEAH box protein 30)	DHX30 DDX30 KIAA0890	Homo sapiens (Human)	1194
O15371	O15371	reviewed	EIF3D_HUMAN	Eukaryotic translation initiation factor 3 subunit D (eIF3d) (Eukaryotic translation initiation factor 3 subunit 7) (eIF-3-zeta) (eIF3 p66)	EIF3D EIF3S7	Homo sapiens (Human)	548
O15372	O15372	reviewed	EIF3H_HUMAN	Eukaryotic translation initiation factor 3 subunit H (eIF3h) (Eukaryotic translation initiation factor 3 subunit 3) (eIF-3-gamma) (eIF3 p40 subunit)	EIF3H EIF3S3	Homo sapiens (Human)	352
Q9NZB2	Q9NZB2	reviewed	F120A_HUMAN	Constitutive coactivator of PPAR-gamma-like protein 1 (Oxidative stress-associated Src activator) (Protein FAM120A)	FAM120A C9orf10 KIAA0183 OSSA	Homo sapiens (Human)	1118
Q9NYY8	Q9NYY8	reviewed	FAKD2_HUMAN	FAST kinase domain-containing protein 2, mitochondrial	FASTKD2 KIAA0971	Homo sapiens (Human)	710
Q969Z0	Q969Z0	reviewed	FAKD4_HUMAN	FAST kinase domain-containing protein 4 (Cell cycle progression restoration protein 2) (Cell cycle progression protein 2) (Protein TBRG4) (Transforming growth factor beta regulator 4)	TBRG4 CPR2 FASTKD4 KIAA0948	Homo sapiens (Human)	631
Q02790	Q02790	reviewed	FKBP4_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP4 (PPIase FKBP4) (EC 5.2.1.8) (51 kDa FK506-binding protein) (FKBP51) (52 kDa FK506-binding protein) (52 kDa FKBP) (FKBP-52) (59 kDa immunophilin) (p59) (FK506-binding protein 4) (FKBP-4) (FKBP59) (HSP-binding immunophilin) (HBI) (Immunophilin FKBP52) (Rotamase) [Cleaved into: Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed]	FKBP4 FKBP52	Homo sapiens (Human)	459
Q96I24	Q96I24	reviewed	FUBP3_HUMAN	Far upstream element-binding protein 3 (FUSE-binding protein 3)	FUBP3 FBP3	Homo sapiens (Human)	572
Q12849	Q12849	reviewed	GRSF1_HUMAN	G-rich sequence factor 1 (GRSF-1)	GRSF1	Homo sapiens (Human)	480
Q9BQ67	Q9BQ67	reviewed	GRWD1_HUMAN	Glutamate-rich WD repeat-containing protein 1	GRWD1 GRWD KIAA1942 WDR28	Homo sapiens (Human)	446
P61978	P61978	reviewed	HNRPK_HUMAN	Heterogeneous nuclear ribonucleoprotein K (hnRNP K) (Transformation up-regulated nuclear protein) (TUNP)	HNRNPK HNRPK	Homo sapiens (Human)	463
Q71RC2	Q71RC2	reviewed	LARP4_HUMAN	La-related protein 4 (La ribonucleoprotein domain family member 4)	LARP4 PP13296	Homo sapiens (Human)	724
O15226	O15226	reviewed	NKRF_HUMAN	NF-kappa-B-repressing factor (NFkB-repressing factor) (NRF) (Protein ITBA4)	NKRF ITBA4 NRF	Homo sapiens (Human)	690
Q9UGY1	Q9UGY1	reviewed	NOL12_HUMAN	Nucleolar protein 12	NOL12	Homo sapiens (Human)	213
Q15366	Q15366	reviewed	PCBP2_HUMAN	Poly(rC)-binding protein 2 (Alpha-CP2) (Heterogeneous nuclear ribonucleoprotein E2) (hnRNP E2)	PCBP2	Homo sapiens (Human)	365
P26599	P26599	reviewed	PTBP1_HUMAN	Polypyrimidine tract-binding protein 1 (PTB) (57 kDa RNA-binding protein PPTB-1) (Heterogeneous nuclear ribonucleoprotein I) (hnRNP I)	PTBP1 PTB	Homo sapiens (Human)	557
Q96T37	Q96T37	reviewed	RBM15_HUMAN	RNA-binding protein 15 (One-twenty two protein 1) (RNA-binding motif protein 15)	RBM15 OTT OTT1	Homo sapiens (Human)	977
O43251	O43251	reviewed	RFOX2_HUMAN	RNA binding protein fox-1 homolog 2 (Fox-1 homolog B) (Hexaribonucleotide-binding protein 2) (RNA-binding motif protein 9) (RNA-binding protein 9) (Repressor of tamoxifen transcriptional activity)	RBFOX2 FOX2 HRNBP2 RBM9 RTA	Homo sapiens (Human)	390
Q9NRR4	Q9NRR4	reviewed	RNC_HUMAN	Ribonuclease 3 (EC 3.1.26.3) (Protein Drosha) (Ribonuclease III) (RNase III) (p241)	DROSHA RN3 RNASE3L RNASEN	Homo sapiens (Human)	1374
Q9NWH9	Q9NWH9	reviewed	SLTM_HUMAN	SAFB-like transcription modulator (Modulator of estrogen-induced transcription)	SLTM MET	Homo sapiens (Human)	1034
Q7KZF4	Q7KZF4	reviewed	SND1_HUMAN	Staphylococcal nuclease domain-containing protein 1 (EC 3.1.31.1) (100 kDa coactivator) (EBNA2 coactivator p100) (Tudor domain-containing protein 11) (p100 co-activator)	SND1 TDRD11	Homo sapiens (Human)	910
Q8IYB8	Q8IYB8	reviewed	SUV3_HUMAN	ATP-dependent RNA helicase SUPV3L1, mitochondrial (EC 3.6.4.13) (Suppressor of var1 3-like protein 1) (SUV3-like protein 1)	SUPV3L1 SUV3	Homo sapiens (Human)	786
P35269	P35269	reviewed	T2FA_HUMAN	General transcription factor IIF subunit 1 (General transcription factor IIF 74 kDa subunit) (Transcription initiation factor IIF subunit alpha) (TFIIF-alpha) (Transcription initiation factor RAP74)	GTF2F1 RAP74	Homo sapiens (Human)	517
Q9Y5K5	Q9Y5K5	reviewed	UCHL5_HUMAN	Ubiquitin carboxyl-terminal hydrolase isozyme L5 (UCH-L5) (EC 3.4.19.12) (Ubiquitin C-terminal hydrolase UCH37) (Ubiquitin thioesterase L5)	UCHL5 UCH37 AD-019 CGI-70	Homo sapiens (Human)	329
Q9H0D6	Q9H0D6	reviewed	XRN2_HUMAN	5'-3' exoribonuclease 2 (EC 3.1.13.-) (DHM1-like protein) (DHP protein)	XRN2	Homo sapiens (Human)	950
P61981	P61981	reviewed	1433G_HUMAN	14-3-3 protein gamma (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein gamma, N-terminally processed]	YWHAG	Homo sapiens (Human)	247
Q8N302	Q8N302	reviewed	AGGF1_HUMAN	Angiogenic factor with G patch and FHA domains 1 (Angiogenic factor VG5Q) (hVG5Q) (G patch domain-containing protein 7) (Vasculogenesis gene on 5q protein)	AGGF1 GPATC7 GPATCH7 VG5Q	Homo sapiens (Human)	714
Q9ULX6	Q9ULX6	reviewed	AKP8L_HUMAN	A-kinase anchor protein 8-like (AKAP8-like protein) (Helicase A-binding protein 95) (HAP95) (Homologous to AKAP95 protein) (HA95) (Neighbor of A-kinase-anchoring protein 95) (Neighbor of AKAP95)	AKAP8L NAKAP NAKAP95 HRIHFB2018	Homo sapiens (Human)	646
Q9GZR7	Q9GZR7	reviewed	DDX24_HUMAN	ATP-dependent RNA helicase DDX24 (EC 3.6.4.13) (DEAD box protein 24)	DDX24	Homo sapiens (Human)	859
Q9NQT4	Q9NQT4	reviewed	EXOS5_HUMAN	Exosome complex component RRP46 (Chronic myelogenous leukemia tumor antigen 28) (Exosome component 5) (Ribosomal RNA-processing protein 46) (p12B)	EXOSC5 CML28 RRP46	Homo sapiens (Human)	235
